Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
188,James Harden\hardeja01,SG,28,HOU,59,59,35.6,9.2,20.4,.451,3.9,10.4,.377,5.3,9.9,.530,.548,8.7,10.1,.868,0.5,4.6,5.2,8.7,1.9,0.7,4.4,2.4,31.0
189,Maurice Harkless\harklma01,SF,24,POR,53,30,20.6,2.2,4.7,.462,0.7,1.8,.371,1.5,2.8,.520,.534,0.6,0.8,.711,0.7,1.9,2.6,0.8,0.8,0.7,0.7,1.7,5.6
190,Montrezl Harrell\harremo01,C,24,LAC,59,3,16.2,4.2,6.7,.633,0.0,0.1,.000,4.2,6.6,.639,.633,1.8,2.8,.661,1.4,2.6,3.9,0.8,0.5,0.7,0.9,1.8,10.3
191,Devin Harris\harride01,PG,34,TOT,56,1,18.1,2.6,6.3,.414,1.0,3.0,.345,1.6,3.3,.476,.496,1.9,2.3,.831,0.2,1.6,1.8,1.9,0.7,0.2,1.1,2.4,8.2
192,Gary Harris\harriga01,SG,23,DEN,63,63,35.0,6.7,13.7,.487,2.4,6.0,.403,4.3,7.7,.553,.575,2.0,2.5,.826,0.6,2.1,2.7,3.0,1.9,0.2,1.8,1.8,17.8
193,Joe Harris\harrijo01,SG,26,BRK,65,9,25.1,3.8,8.0,.474,1.9,4.6,.403,1.9,3.4,.571,.591,1.0,1.3,.807,0.7,2.7,3.4,1.5,0.5,0.2,1.1,2.0,10.5
194,Tobias Harris\harrito02,PF,25,TOT,63,63,33.1,6.9,15.0,.459,2.3,5.7,.408,4.6,9.3,.491,.537,2.4,2.9,.835,0.8,4.8,5.6,2.2,0.9,0.4,1.2,2.0,18.5
195,Andrew Harrison\harrian01,PG,23,MEM,52,42,23.3,3.1,7.3,.421,0.8,2.4,.349,2.3,4.9,.457,.479,2.2,2.8,.793,0.4,2.0,2.4,3.0,0.7,0.5,1.5,2.5,9.3
196,Shaquille Harrison\harrish01,PG,24,PHO,9,1,13.4,1.6,3.6,.438,0.2,0.7,.333,1.3,2.9,.462,.469,0.9,1.1,.800,0.3,2.6,2.9,1.9,1.3,0.6,0.9,2.0,4.2
197,Josh Hart\hartjo01,SG,22,LAL,55,20,21.5,2.4,5.2,.461,1.1,2.7,.397,1.3,2.4,.534,.567,0.8,1.2,.656,0.6,3.1,3.7,1.2,0.7,0.2,0.6,1.6,6.6
