Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
279,Walt Lemon Jr.\lemonwa01,PG,25,NOP,5,0,7.0,1.4,3.2,.438,0.2,0.2,1.000,1.2,3.0,.400,.469,0.4,0.6,.667,0.0,0.4,0.4,1.0,0.0,0.2,0.8,1.0,3.4
280,Alex Len\lenal01,C,24,PHO,58,8,19.9,2.9,5.1,.559,0.0,0.0,,2.9,5.1,.559,.559,2.3,3.3,.704,2.4,5.0,7.5,1.2,0.4,0.9,1.1,2.3,8.0
281,Kawhi Leonard\leonaka01,SF,26,SAS,9,9,23.3,5.8,12.3,.468,1.2,3.9,.314,4.6,8.4,.539,.518,3.4,4.2,.816,0.7,4.0,4.7,2.3,2.0,1.0,1.8,1.0,16.2
282,Meyers Leonard\leoname01,C,25,POR,25,2,7.8,1.4,2.4,.576,0.4,0.8,.450,1.0,1.6,.641,.653,0.3,0.4,.800,0.4,1.7,2.1,0.4,0.2,0.0,0.3,1.1,3.4
283,Jon Leuer\leuerjo01,PF,28,DET,8,0,17.0,1.9,4.5,.417,0.0,0.4,.000,1.9,4.1,.455,.417,1.6,1.9,.867,0.9,3.1,4.0,0.6,0.1,0.4,0.9,2.0,5.4
284,Caris LeVert\leverca01,SF,23,BRK,57,9,25.9,4.4,10.2,.434,1.2,3.4,.342,3.2,6.8,.481,.491,1.9,2.7,.710,0.8,2.9,3.7,4.1,1.1,0.3,2.3,2.1,11.9
285,DeAndre Liggins\liggide01,SG,29,TOT,47,2,13.5,0.8,1.9,.433,0.4,1.0,.383,0.4,0.9,.488,.533,0.0,0.1,.400,0.1,1.2,1.4,0.9,0.8,0.3,0.4,1.6,2.1
286,Damian Lillard\lillada01,PG,27,POR,60,60,36.5,8.6,19.2,.446,3.3,8.5,.382,5.3,10.7,.498,.531,6.5,7.2,.907,0.7,3.8,4.5,6.5,1.0,0.4,3.1,1.7,26.9
287,Jeremy Lin\linje01,PG,29,BRK,1,1,25.0,5.0,12.0,.417,1.0,2.0,.500,4.0,10.0,.400,.458,7.0,7.0,1.000,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,18.0
288,Shaun Livingston\livinsh01,PG,32,GSW,58,7,15.6,2.3,4.6,.496,0.0,0.1,.000,2.3,4.6,.502,.496,0.7,0.8,.809,0.5,1.4,1.8,2.0,0.4,0.3,0.8,1.6,5.2
289,Kevon Looney\looneke01,C,21,GSW,52,0,11.1,1.2,2.1,.587,0.0,0.0,,1.2,2.1,.587,.587,0.5,1.0,.491,1.2,1.6,2.7,0.5,0.3,0.6,0.4,1.4,3.0
290,Brook Lopez\lopezbr01,C,29,LAL,58,56,22.2,4.8,10.5,.458,1.5,4.5,.340,3.3,6.1,.545,.530,1.3,1.9,.688,1.0,2.8,3.8,1.6,0.4,1.3,1.4,2.7,12.5
291,Robin Lopez\lopezro01,C,29,CHI,59,59,27.1,5.5,10.4,.529,0.1,0.2,.333,5.4,10.2,.532,.531,1.1,1.5,.761,2.1,2.5,4.6,2.0,0.2,0.8,1.7,1.8,12.1
292,Kevin Love\loveke01,C,29,CLE,48,48,28.0,5.8,12.5,.463,2.2,5.4,.404,3.6,7.1,.507,.550,4.1,4.6,.883,1.9,7.4,9.4,1.6,0.7,0.4,1.5,2.1,17.9
293,Kyle Lowry\lowryky01,PG,31,TOR,63,63,32.1,5.2,12.2,.425,3.0,7.6,.394,2.2,4.6,.476,.547,3.1,3.7,.848,0.9,4.8,5.7,6.6,1.2,0.1,2.3,2.4,16.5
294,Timothe Luwawu-Cabarrot\luwawti01,SF,22,PHI,52,7,15.5,1.9,5.1,.375,1.0,3.0,.335,0.9,2.1,.431,.474,0.9,1.1,.793,0.3,1.1,1.4,1.0,0.2,0.1,0.7,1.9,5.8
295,Tyler Lydon\lydonty01,PF,21,DEN,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,Trey Lyles\lylestr01,PF,22,DEN,61,2,20.1,3.9,8.0,.492,1.2,3.1,.386,2.7,4.9,.559,.567,1.5,2.1,.687,0.8,4.2,5.0,1.3,0.5,0.5,0.9,1.6,10.5
297,Shelvin Mack\macksh01,PG,27,ORL,54,3,18.7,2.3,5.1,.447,0.6,1.6,.365,1.7,3.5,.484,.504,1.0,1.4,.737,0.3,1.9,2.3,3.7,0.7,0.1,1.3,1.3,6.2
298,Josh Magette\magetjo01,PG,28,ATL,13,0,8.8,0.6,1.7,.364,0.3,0.8,.400,0.3,0.9,.333,.455,0.6,0.6,1.000,0.2,0.6,0.8,2.8,0.3,0.0,0.3,0.5,2.2
299,Ian Mahinmi\mahinia01,C,31,WAS,64,0,14.7,1.6,2.9,.561,0.0,0.0,.000,1.6,2.9,.565,.561,1.2,1.7,.712,1.7,2.2,3.9,0.7,0.5,0.6,1.3,3.1,4.5
300,Thon Maker\makerth01,C,20,MIL,65,12,17.2,1.8,4.3,.412,0.4,1.4,.301,1.3,2.8,.467,.462,0.9,1.3,.699,1.1,2.2,3.3,0.6,0.5,0.8,0.6,2.2,4.8
301,Boban Marjanovic\marjabo01,C,29,TOT,26,1,8.3,2.0,3.8,.541,0.0,0.0,,2.0,3.8,.541,.541,1.7,2.1,.815,1.0,1.9,2.8,0.6,0.3,0.3,1.0,1.4,5.8
302,Lauri Markkanen\markkla01,PF,20,CHI,60,60,30.4,5.5,12.8,.426,2.1,6.0,.345,3.4,6.8,.498,.507,1.9,2.2,.865,1.2,6.4,7.6,1.2,0.6,0.6,1.2,1.5,14.9
303,Jarell Martin\martija01,PF,23,MEM,62,25,21.7,2.9,6.4,.452,0.4,1.2,.370,2.4,5.2,.470,.486,1.2,1.5,.787,1.3,2.8,4.0,0.9,0.6,0.7,1.2,2.9,7.4
304,Frank Mason\masonfr01,PG,23,SAC,40,2,18.8,2.7,7.1,.376,0.6,1.5,.390,2.1,5.6,.372,.417,1.9,2.3,.824,0.6,1.6,2.2,2.8,0.7,0.2,1.3,1.3,7.8
305,Mangok Mathiang\mathima01,C,25,CHO,3,0,3.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.3,1.7,2.0,0.0,0.0,0.0,0.0,0.7,0.0
306,Wesley Matthews\matthwe02,SF,31,DAL,63,62,33.8,4.5,11.1,.406,2.4,6.4,.381,2.1,4.7,.441,.516,1.3,1.6,.822,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7
307,Luc Mbah a Moute\mbahalu01,PF,31,HOU,50,14,26.6,2.8,5.6,.489,1.1,2.9,.363,1.7,2.7,.625,.583,1.0,1.5,.703,0.4,2.8,3.2,1.0,1.0,0.5,1.2,1.7,7.6
308,James Michael McAdoo\mcadoja01,PF,25,PHI,3,0,6.0,0.7,2.3,.286,0.7,2.3,.286,0.0,0.0,,.429,0.7,0.7,1.000,0.0,0.7,0.7,0.0,0.0,0.3,0.3,0.3,2.7
309,Patrick McCaw\mccawpa01,SG,22,GSW,51,6,15.6,1.5,3.4,.443,0.3,1.3,.250,1.2,2.2,.555,.489,0.4,0.5,.720,0.3,1.1,1.4,1.4,0.7,0.2,0.6,1.1,3.7
310,C.J. McCollum\mccolcj01,SG,26,POR,66,66,36.0,8.2,18.4,.446,2.5,5.9,.423,5.7,12.5,.458,.514,2.8,3.3,.843,0.6,3.3,3.9,3.2,0.9,0.4,1.8,2.2,21.7
311,T.J. McConnell\mccontj01,PG,25,PHI,59,1,24.3,3.0,6.1,.500,0.4,0.9,.463,2.6,5.2,.507,.535,0.5,0.5,.844,0.6,2.7,3.2,4.4,1.4,0.2,1.7,1.7,6.9
312,Erik McCree\mccreer01,SF,24,UTA,3,0,1.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,Chris McCullough\mcculch01,PF,22,WAS,19,0,4.7,0.9,2.2,.429,0.1,0.4,.125,0.9,1.8,.500,.440,0.5,0.7,.643,0.4,0.9,1.3,0.2,0.0,0.3,0.1,0.4,2.4
314,Doug McDermott\mcderdo01,SF,26,TOT,67,2,21.8,2.9,6.2,.462,1.1,2.6,.420,1.7,3.5,.494,.552,0.9,1.1,.784,0.6,1.9,2.5,1.0,0.2,0.2,0.7,1.5,7.7
315,JaVale McGee\mcgeeja01,C,30,GSW,51,13,9.2,2.0,3.0,.645,0.0,0.1,.000,2.0,2.9,.671,.645,0.6,0.8,.762,0.7,1.6,2.3,0.5,0.4,0.9,0.4,1.3,4.5
316,Rodney McGruder\mcgruro01,SG,26,MIA,7,0,20.7,2.7,5.3,.514,1.0,2.7,.368,1.7,2.6,.667,.608,0.1,0.3,.500,0.7,0.9,1.6,1.3,0.6,0.1,0.3,1.6,6.6
317,Trey McKinney-Jones\mckintr01,SG,27,IND,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Alfonzo McKinnie\mckinal01,SF,25,TOR,13,0,3.8,0.5,1.0,.538,0.2,0.6,.375,0.3,0.4,.800,.654,0.2,0.2,.667,0.0,0.5,0.5,0.1,0.1,0.1,0.2,0.6,1.5
319,Ben McLemore\mclembe01,SG,24,MEM,44,12,18.6,2.7,6.2,.431,1.0,2.7,.358,1.7,3.5,.487,.509,0.8,1.0,.804,0.5,1.7,2.2,1.0,0.7,0.3,1.1,2.4,7.2
320,Josh McRoberts\mcrobjo01,PF,30,DAL,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
321,Jodie Meeks\meeksjo01,SG,30,WAS,64,0,15.0,2.0,5.2,.389,0.9,2.8,.324,1.1,2.5,.462,.475,1.4,1.6,.876,0.2,1.4,1.7,0.9,0.4,0.1,0.5,0.8,6.4
322,Salah Mejri\mejrisa01,C,31,DAL,57,1,11.7,1.4,2.2,.656,0.0,0.1,.000,1.4,2.1,.672,.656,0.6,1.0,.569,1.4,2.7,4.1,0.5,0.4,1.1,0.6,2.0,3.5
323,Jordan Mickey\mickejo01,PF,23,MIA,20,2,12.5,1.7,3.6,.479,0.1,0.7,.077,1.7,2.9,.569,.486,0.6,0.8,.688,0.8,2.9,3.7,0.5,0.3,0.5,0.8,1.7,4.0
324,Khris Middleton\middlkh01,SF,26,MIL,67,67,36.5,7.2,15.5,.466,1.7,5.0,.345,5.5,10.5,.523,.522,3.8,4.4,.870,0.5,4.7,5.2,4.0,1.3,0.2,2.3,3.3,19.9
325,C.J. Miles\milescj01,SF,30,TOR,56,3,18.6,3.4,8.4,.402,2.5,6.5,.386,0.9,1.9,.458,.551,1.1,1.3,.831,0.3,1.8,2.1,0.7,0.6,0.3,0.5,1.9,10.3
326,Darius Miller\milleda01,SF,27,NOP,66,2,23.9,2.7,6.0,.453,1.9,4.5,.419,0.8,1.5,.557,.611,0.8,0.9,.879,0.2,1.8,2.0,1.4,0.3,0.2,0.7,2.1,8.0
327,Malcolm Miller\millema01,SF,24,TOR,11,2,7.6,1.0,2.0,.500,0.6,1.5,.412,0.4,0.5,.800,.659,0.2,0.2,1.000,0.3,0.7,1.0,0.2,0.1,0.0,0.2,0.6,2.8
328,Patty Mills\millspa02,PG,29,SAS,67,21,24.3,3.3,7.9,.417,1.8,4.8,.381,1.5,3.1,.471,.532,1.1,1.3,.875,0.3,1.6,1.8,2.7,0.6,0.1,1.3,1.4,9.5
329,Paul Millsap\millspa01,PF,32,DEN,23,22,28.3,5.2,11.6,.449,1.2,3.3,.360,4.0,8.3,.484,.500,2.8,3.8,.736,1.5,4.8,6.3,2.8,1.1,1.3,1.9,2.6,14.4
330,Nikola Mirotic\mirotni01,PF,26,TOT,40,8,26.9,5.6,12.4,.451,2.6,6.7,.383,3.0,5.7,.528,.554,2.2,2.7,.807,1.1,5.9,7.0,1.5,0.8,0.7,1.2,2.0,15.9
331,Donovan Mitchell\mitchdo01,SG,21,UTA,64,56,32.9,7.3,16.7,.436,2.4,6.9,.348,4.9,9.8,.498,.508,2.9,3.5,.842,0.6,3.0,3.6,3.6,1.4,0.4,2.7,2.8,19.8
332,Naz Mitrou-Long\mitrona01,SG,24,UTA,1,0,1.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
333,Malik Monk\monkma01,SG,19,CHO,48,0,11.8,1.8,5.4,.329,0.9,3.0,.308,0.8,2.3,.357,.417,0.3,0.4,.737,0.1,0.7,0.8,1.2,0.3,0.1,0.5,0.9,4.8
334,Greg Monroe\monrogr01,C,27,TOT,36,14,19.8,4.1,7.0,.586,0.0,0.0,,4.1,7.0,.586,.586,1.4,2.0,.699,2.0,4.6,6.7,1.9,0.6,0.4,1.6,1.9,9.6
335,Luis Montero\montelu01,SG,24,DET,2,0,4.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
336,Ben Moore\moorebe01,PF,22,IND,2,0,4.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,2.0,0.0
337,E'Twaun Moore\mooreet01,SG,28,NOP,66,64,31.7,5.0,10.0,.502,1.5,3.7,.415,3.5,6.4,.551,.577,0.6,0.9,.700,0.7,2.1,2.9,2.2,0.9,0.1,1.3,2.3,12.2
338,Eric Moreland\moreler01,PF,26,DET,54,1,11.4,0.9,1.6,.541,0.0,0.0,,0.9,1.6,.541,.541,0.2,0.4,.375,1.1,2.7,3.8,1.1,0.4,0.6,0.6,1.7,1.9
339,Jaylen Morris\morrija01,SG,22,ATL,6,0,16.3,2.2,5.2,.419,0.3,1.5,.222,1.8,3.7,.500,.452,0.0,0.0,,0.3,2.3,2.7,1.2,0.3,0.2,1.0,0.3,4.7
340,Marcus Morris\morrima03,PF,28,BOS,43,15,25.6,4.5,10.7,.420,1.5,4.2,.361,3.0,6.5,.459,.491,1.8,2.3,.788,0.9,4.5,5.4,1.3,0.6,0.2,1.1,1.8,12.3
341,Markieff Morris\morrima02,PF,28,WAS,58,58,26.7,4.4,9.1,.484,1.0,2.7,.374,3.4,6.4,.530,.539,1.3,1.6,.830,1.1,4.7,5.8,1.8,0.8,0.5,1.7,3.1,11.1
342,Monte Morris\morrimo01,PG,22,DEN,3,0,8.3,1.3,2.0,.667,0.0,0.3,.000,1.3,1.7,.800,.667,0.7,0.7,1.000,0.0,0.7,0.7,2.3,1.0,0.0,0.3,0.3,3.3
343,Johnathan Motley\motlejo01,PF,22,DAL,4,0,2.8,0.8,1.5,.500,0.0,0.0,,0.8,1.5,.500,.500,1.0,2.5,.400,0.3,1.5,1.8,0.3,0.0,0.5,0.3,0.3,2.5
344,Timofey Mozgov\mozgoti01,C,31,BRK,28,14,12.1,1.6,3.0,.529,0.1,0.6,.222,1.5,2.4,.612,.553,0.7,0.9,.760,1.0,2.1,3.1,0.3,0.2,0.4,1.1,1.3,4.0
345,Emmanuel Mudiay\mudiaem01,PG,21,TOT,53,8,19.4,3.2,8.3,.391,0.8,2.5,.328,2.4,5.8,.417,.440,1.6,2.2,.748,0.4,1.9,2.4,3.3,0.6,0.1,1.8,1.2,8.9
346,Shabazz Muhammad\muhamsh01,SF-SG,25,TOT,34,2,9.2,1.4,3.7,.392,0.1,0.6,.211,1.3,3.1,.425,.408,0.7,1.0,.727,0.4,0.9,1.4,0.2,0.2,0.1,0.2,0.7,3.7
347,Xavier Munford\munfoxa02,SG,25,MIL,6,0,3.5,0.2,1.0,.167,0.0,0.3,.000,0.2,0.7,.250,.167,0.2,0.3,.500,0.2,0.0,0.2,0.7,0.2,0.0,0.3,0.7,0.5
348,Dejounte Murray\murrade01,PG,21,SAS,66,33,20.2,3.2,7.2,.440,0.1,0.3,.261,3.1,6.9,.449,.447,1.1,1.6,.721,1.3,4.0,5.3,2.8,1.0,0.4,1.7,1.8,7.6
349,Jamal Murray\murraja01,PG,20,DEN,66,65,30.4,5.8,12.6,.462,1.9,5.0,.381,3.9,7.6,.516,.538,2.6,2.8,.915,1.0,2.5,3.5,3.2,0.9,0.3,2.1,2.1,16.2
350,Mike Muscala\muscami01,C,26,ATL,38,5,17.8,2.4,5.1,.484,1.0,2.4,.409,1.4,2.6,.556,.583,1.0,1.1,.902,1.0,2.8,3.9,0.8,0.6,0.5,0.7,1.6,6.9
351,Abdel Nader\naderab01,SF,24,BOS,33,0,9.1,0.9,2.6,.341,0.5,1.3,.349,0.4,1.3,.333,.429,0.4,0.6,.632,0.2,1.0,1.2,0.6,0.2,0.1,0.7,0.7,2.6
352,Larry Nance\nancela02,C,25,TOT,54,21,22.6,3.9,6.5,.603,0.0,0.1,.125,3.9,6.4,.614,.605,1.5,2.2,.661,2.6,4.5,7.1,1.4,1.4,0.6,0.9,2.8,9.4
353,Shabazz Napier\napiesh01,PG,26,POR,60,8,21.2,3.2,7.3,.434,1.1,3.0,.380,2.1,4.4,.471,.511,1.7,2.1,.839,0.3,1.9,2.3,2.1,1.2,0.2,1.3,1.2,9.2
354,Jameer Nelson\nelsoja01,PG,35,TOT,49,0,20.1,1.9,4.9,.397,0.8,2.5,.333,1.1,2.4,.466,.483,0.3,0.4,.800,0.3,1.8,2.1,3.6,0.5,0.1,1.4,1.6,5.0
355,Raul Neto\netora01,PG,25,UTA,39,0,12.3,1.7,3.8,.456,0.5,1.2,.413,1.2,2.6,.475,.520,0.7,0.8,.788,0.2,1.0,1.2,1.8,0.3,0.1,0.8,0.9,4.6
356,Georges Niang\niangge01,PF,24,UTA,3,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.7,0.0,0.0,0.0,0.0
357,Joakim Noah\noahjo01,C,32,NYK,7,0,5.7,0.7,1.4,.500,0.0,0.0,,0.7,1.4,.500,.500,0.3,0.6,.500,0.9,1.1,2.0,0.6,0.3,0.3,0.6,0.7,1.7
358,Nerlens Noel\noelne01,C,23,DAL,23,6,13.7,1.7,3.4,.513,0.0,0.0,.000,1.7,3.3,.519,.513,0.8,1.0,.750,1.6,3.3,4.9,0.4,0.7,0.6,0.9,1.9,4.3
359,Lucas Nogueira\noguelu01,C,25,TOR,40,2,8.5,1.0,1.6,.600,0.1,0.4,.250,0.9,1.2,.714,.631,0.4,0.6,.739,0.4,1.4,1.8,0.4,0.5,0.8,0.4,1.1,2.5
360,Dirk Nowitzki\nowitdi01,C,39,DAL,66,66,24.9,4.6,10.0,.461,1.8,4.3,.426,2.8,5.7,.488,.552,1.4,1.5,.909,0.3,5.3,5.7,1.6,0.6,0.6,0.7,1.9,12.4
361,Frank Ntilikina\ntilila01,PG,19,NYK,64,3,21.0,2.1,6.0,.356,0.6,1.8,.319,1.6,4.2,.372,.403,0.7,1.0,.726,0.4,1.7,2.1,3.1,0.9,0.2,1.7,2.4,5.5
362,Jusuf Nurkic\nurkiju01,C,23,POR,64,64,26.1,5.9,12.1,.490,0.0,0.1,.000,5.9,12.0,.494,.490,2.4,3.6,.655,2.2,6.3,8.5,1.8,0.8,1.3,2.4,3.1,14.2
363,David Nwaba\nwabada01,SG,25,CHI,54,10,22.8,2.6,5.0,.528,0.2,0.6,.419,2.4,4.4,.542,.552,1.9,3.0,.627,1.1,3.4,4.5,1.3,0.8,0.4,1.0,2.2,7.4
364,Johnny O'Bryant\obryajo01,PF,24,CHO,36,0,10.5,1.9,4.8,.398,0.4,1.2,.326,1.5,3.6,.422,.439,0.6,0.7,.840,0.8,1.8,2.6,0.4,0.2,0.2,0.4,1.3,4.8
365,Royce O'Neale\onealro01,SF,24,UTA,54,3,15.6,1.7,4.1,.411,0.6,1.7,.355,1.1,2.3,.452,.486,0.9,1.1,.790,0.4,2.8,3.2,1.4,0.5,0.1,0.8,1.3,4.9
366,Kyle O'Quinn\oquinky01,C,27,NYK,65,4,17.1,2.8,4.7,.588,0.0,0.2,.091,2.8,4.5,.607,.590,1.3,1.7,.773,1.4,4.2,5.6,2.0,0.4,1.2,1.3,2.5,6.9
367,Semi Ojeleye\ojelese01,PF,23,BOS,58,0,13.8,0.7,2.4,.307,0.5,1.7,.287,0.2,0.6,.361,.412,0.3,0.5,.607,0.5,1.4,1.9,0.2,0.3,0.0,0.3,1.1,2.2
368,Emeka Okafor\okafoem01,C,35,NOP,12,10,16.3,2.3,4.0,.563,0.0,0.0,,2.3,4.0,.563,.563,1.1,1.4,.765,2.0,3.3,5.3,0.3,0.2,1.6,0.4,1.3,5.6
369,Jahlil Okafor\okafoja01,C,22,TOT,25,0,12.6,2.6,4.8,.537,0.0,0.1,.000,2.6,4.7,.551,.537,0.8,1.2,.724,0.8,2.2,3.0,0.5,0.1,0.6,0.8,2.0,6.0
370,Victor Oladipo\oladivi01,SG,25,IND,61,61,34.3,8.7,18.3,.477,2.2,5.9,.370,6.5,12.3,.529,.537,4.1,5.1,.805,0.6,4.7,5.3,4.3,2.2,0.8,3.0,2.3,23.8
371,Kelly Olynyk\olynyke01,PF,26,MIA,62,22,23.2,3.9,8.0,.493,1.2,3.5,.360,2.7,4.5,.595,.571,1.7,2.2,.768,1.1,4.4,5.6,2.5,0.8,0.4,2.0,2.8,10.8
372,Cedi Osman\osmande01,SF,22,CLE,54,9,10.5,1.4,2.8,.510,0.5,1.2,.391,0.9,1.6,.600,.594,0.4,0.6,.576,0.3,1.6,1.9,0.5,0.3,0.1,0.5,1.3,3.6
373,Kelly Oubre\oubreke01,SF,22,WAS,66,10,27.8,4.0,9.6,.413,1.6,4.5,.357,2.4,5.1,.462,.496,2.4,2.8,.843,0.7,3.9,4.6,1.1,0.9,0.4,1.1,3.0,11.9
374,Zaza Pachulia\pachuza01,C,33,GSW,56,48,14.4,2.3,3.9,.597,0.0,0.0,.000,2.3,3.8,.600,.597,1.2,1.5,.805,1.2,3.5,4.7,1.7,0.6,0.2,1.0,1.9,5.8
375,Marcus Paige\paigema01,PG,24,CHO,1,0,3.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
376,Georgios Papagiannis\papagge01,C,20,SAC,16,0,7.4,1.1,2.6,.415,0.0,0.0,,1.1,2.6,.415,.415,0.0,0.0,,0.8,1.5,2.3,0.6,0.1,0.4,0.5,0.8,2.1
377,Jabari Parker\parkeja01,PF,22,MIL,16,0,21.0,4.3,8.6,.493,0.9,2.0,.438,3.4,6.6,.509,.543,1.6,2.1,.758,1.0,3.1,4.1,1.4,0.6,0.3,1.3,1.2,10.9
378,Tony Parker\parketo01,PG,35,SAS,40,21,20.4,3.8,7.8,.492,0.1,0.7,.192,3.7,7.1,.519,.500,1.1,1.5,.700,0.1,1.8,1.9,3.8,0.6,0.0,1.4,0.8,8.8
379,Chandler Parsons\parsoch01,SF,29,MEM,31,8,19.9,3.1,6.6,.468,1.4,3.5,.407,1.7,3.1,.536,.576,0.5,0.8,.600,0.4,2.2,2.5,2.0,0.5,0.4,1.1,1.5,8.1
380,Patrick Patterson\pattepa01,PF,28,OKC,69,3,15.8,1.2,3.2,.379,0.7,2.1,.357,0.5,1.2,.420,.493,0.4,0.5,.886,0.3,2.0,2.4,0.7,0.6,0.3,0.4,1.0,3.7
381,Brandon Paul\paulbr01,SG,26,SAS,55,2,9.5,0.9,2.1,.426,0.3,0.9,.275,0.6,1.2,.547,.487,0.4,0.7,.568,0.1,1.1,1.2,0.7,0.5,0.1,0.5,1.0,2.4
382,Chris Paul\paulch01,PG,32,HOU,49,49,31.9,6.4,13.7,.466,2.5,6.4,.387,3.9,7.3,.536,.557,3.6,3.9,.921,0.6,4.8,5.4,8.1,1.8,0.3,2.3,2.5,18.8
383,Adreian Payne\paynead01,PF,26,ORL,5,0,8.6,1.4,2.0,.700,0.4,0.6,.667,1.0,1.4,.714,.800,1.0,1.2,.833,0.4,1.4,1.8,0.0,0.4,0.0,0.4,1.2,4.2
384,Cameron Payne\payneca01,PG,23,CHI,9,0,18.2,3.2,7.1,.453,1.0,2.9,.346,2.2,4.2,.526,.523,0.4,0.6,.800,0.4,1.2,1.7,3.0,1.4,0.4,1.1,1.2,7.9
385,Elfrid Payton\paytoel01,PG,23,TOT,56,56,29.4,5.5,11.0,.502,0.5,1.5,.345,5.0,9.5,.527,.526,1.8,2.8,.660,1.1,3.5,4.6,6.4,1.4,0.4,2.7,2.4,13.4
386,Gary Payton\paytoga02,PG,25,TOT,18,6,8.1,1.0,2.6,.383,0.1,0.8,.133,0.9,1.8,.500,.404,0.1,0.2,.667,0.4,0.8,1.3,0.7,0.2,0.2,0.2,1.3,2.2
387,London Perrantes\perralo01,PG,23,CLE,7,0,2.0,0.0,0.3,.000,0.0,0.1,.000,0.0,0.1,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1,0.0
388,Alec Peters\peteral01,PF,22,PHO,11,0,8.5,0.7,2.7,.267,0.5,2.4,.192,0.3,0.4,.750,.350,0.3,0.3,1.000,0.4,1.5,1.8,0.7,0.0,0.2,0.1,0.3,2.2
389,Marshall Plumlee\plumlma02,C,25,MIL,7,0,6.4,0.1,0.4,.333,0.0,0.0,,0.1,0.4,.333,.333,1.7,2.3,.750,0.6,1.7,2.3,0.3,0.0,0.1,0.4,1.1,2.0
390,Mason Plumlee\plumlma01,C,27,DEN,59,26,20.6,3.3,5.5,.596,0.0,0.0,.000,3.3,5.4,.598,.596,1.2,2.6,.444,1.9,3.9,5.8,2.0,0.7,1.1,1.5,2.4,7.7
391,Miles Plumlee\plumlmi01,C,29,ATL,46,34,16.6,2.0,3.4,.581,0.0,0.0,,2.0,3.4,.581,.581,0.5,1.0,.458,1.3,2.7,4.0,0.8,0.3,0.6,1.2,1.5,4.4
392,Jakob Poeltl\poeltja01,C,22,TOR,66,0,18.4,3.0,4.7,.641,0.0,0.0,.500,3.0,4.7,.642,.642,0.7,1.3,.590,2.0,2.7,4.7,0.7,0.4,1.3,1.0,2.7,6.8
393,Quincy Pondexter\pondequ01,SF,29,CHI,23,1,8.5,0.6,2.1,.286,0.1,1.0,.136,0.5,1.2,.407,.316,0.6,0.7,.824,0.3,0.8,1.2,0.4,0.3,0.1,0.5,1.0,2.0
394,Otto Porter\porteot01,SF,24,WAS,63,63,31.9,5.9,11.7,.505,1.7,4.1,.426,4.2,7.6,.547,.579,1.5,1.8,.838,1.3,5.1,6.4,2.1,1.6,0.5,0.9,2.0,15.0
395,Bobby Portis\portibo01,PF,22,CHI,57,3,22.0,5.1,10.8,.468,1.0,3.0,.337,4.1,7.8,.519,.515,1.9,2.4,.791,2.3,4.3,6.6,1.8,0.6,0.3,1.3,1.6,13.0
396,Kristaps Porzingis\porzikr01,PF,22,NYK,48,48,32.4,8.1,18.5,.439,1.9,4.8,.393,6.3,13.8,.455,.489,4.5,5.7,.793,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9,22.7
397,Dwight Powell\poweldw01,C,26,DAL,66,13,20.8,3.3,5.4,.602,0.2,0.8,.278,3.0,4.6,.659,.623,1.6,2.3,.707,1.7,3.8,5.6,1.0,0.9,0.4,0.7,2.3,8.4
398,Norman Powell\powelno01,SG,24,TOR,57,16,16.1,2.2,5.6,.399,0.8,2.7,.288,1.5,2.9,.500,.467,0.5,0.7,.816,0.2,1.5,1.7,1.4,0.6,0.2,1.0,1.8,5.8
